"controller_id","asset_id","occurrence_datetime","latitude","longitude","sent_datetime","snapshot"
"65","70",2023-05-23 11:47:04.714,"40.174","74.252",2023-05-23 11:47:04.714,"{ts:1684856824714,param:{{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.896',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.052',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'1.17633',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.6476630000000001',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:03.715,"40.174","74.252",2023-05-23 11:47:03.715,"{ts:1684856823715,param:{{name:'Y',node:'1',status:'OK',value:'422.83',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.063',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.40783400000000003',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.120833',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:02.715,"40.174","74.252",2023-05-23 11:47:02.715,"{ts:1684856822715,param:{{name:'Y',node:'1',status:'OK',value:'422.83',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.063',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.40783400000000003',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.120833',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:01.718,"40.174","74.252",2023-05-23 11:47:01.718,"{ts:1684856821718,param:{{name:'Z',node:'1',status:'OK',value:'0.005',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.075',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.764',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.523667',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:00.718,"40.174","74.252",2023-05-23 11:47:00.718,"{ts:1684856820718,param:{{name:'z_variance',node:'1',status:'OK',value:'0.52483367',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.087',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.697',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.00383333',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:46:59.715,"40.174","74.252",2023-05-23 11:46:59.715,"{ts:1684856819715,param:{{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.631',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.098',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.00483333',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.52383367',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:46:58.713,"40.174","74.252",2023-05-23 11:46:58.713,"{ts:1684856818713,param:{{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.565',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.00483333',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.52383367',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.11',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:46:57.715,"40.174","74.252",2023-05-23 11:46:57.715,"{ts:1684856817715,param:{{name:'X',node:'1',status:'OK',value:'304.122',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.00516667',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.499',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.52350033',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:46:56.718,"40.174","74.252",2023-05-23 11:46:56.718,"{ts:1684856816718,param:{{name:'X',node:'1',status:'OK',value:'304.133',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.005',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.433',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.523667',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:46:55.716,"40.174","74.252",2023-05-23 11:46:55.716,"{ts:1684856815716,param:{{name:'Y',node:'1',status:'OK',value:'422.366',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.145',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.005',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.523667',value_type:'INTEGER'}}}"
